Prey / Predator,D,N,P1,P2,M1,M2
D,0.7802218481,0.7982971886,0.8259375397,0.7985968038,0.8389710321,0.7831798270
N,0.7198655182,0.7888539236,0.6756408138,0.7389122926,0.7249866947,0.6866227879
P1,0.7565428665,0.8576425571,0.8041870700,0.7808871170,0.8244768188,0.7481074013
P2,0.7523763152,0.8455457294,0.7253921405,0.8210733958,0.7326069658,0.7967461798
M1,0.7521962260,0.8509354693,0.7889837066,0.7588134912,0.8127425242,0.7168442797
M2,0.7567465559,0.8522858154,0.7272583385,0.8333175740,0.7334758629,0.8124640175
