prey,predator,prey_payoff,predator_payoff
D,D,1.1076561083,0.8509293542
N,N,1.1260304100,0.8246149008
P1,P1,1.1172890827,0.8428474604
D,M2,1.1270689181,0.8489447749
N,M2,1.0630110401,0.8445023829
D,M1,1.1533966114,0.8351774490
D,P1,1.1440619471,0.8389229933
N,P1,1.0531273965,0.8484068892
P1,N,1.1631120930,0.8299229943
D,P2,1.1394232988,0.8440156575
P1,D,1.0787029599,0.8551795580
N,M1,1.0850512132,0.8375416383
N,P2,1.0965521951,0.8329984235
D,N,1.1749531627,0.8323203291
N,D,1.0306811419,0.8540234663
P1,P2,1.1281498542,0.8408012899
P1,M1,1.1381683449,0.8352972885
P2,P2,1.1113186134,0.8344726003
P1,M2,1.0959409583,0.8527602695
P2,D,1.0638365730,0.8483811869
M1,M1,1.1143062578,0.8386416089
M1,N,1.1522436776,0.8265275751
P2,M2,1.0903957657,0.8419231326
P2,N,1.1381999098,0.8266357594
M1,D,1.0662557258,0.8549907805
P2,M1,1.0994769827,0.8373980168
M1,P2,1.0944798009,0.8481716787
M1,P1,1.0940682333,0.8457582180
M2,D,1.0764395876,0.8485569810
M2,N,1.1490734785,0.8300467635
P2,P1,1.0869989554,0.8416231131
M1,M2,1.0639330839,0.8591465205
M2,M2,1.1142869333,0.8386932570
M2,P2,1.1358561358,0.8307991520
M2,P1,1.1038298025,0.8410825782
M2,M1,1.1123030708,0.8382216075
