prey,predator,payoff
N,N,0.9751978773
D,D,0.7669785074
P1,P1,0.9696248726
D,P2,0.9176892027
N,P2,0.9705919854
D,M2,0.9217310466
N,M2,0.9738537713
D,M1,0.8422191241
D,P1,0.8600491692
P1,D,0.7856780147
N,P1,0.9709670286
P1,N,0.7229355189
N,M1,0.9685779527
D,N,0.3572395921
N,D,0.6001103525
P1,P2,0.9348083782
P2,P2,0.9656262203
P1,M1,0.9654430934
P1,M2,0.9589368906
P2,D,0.8792223542
M1,M1,0.9646576817
P2,N,0.7321360929
M1,P1,0.9679258353
P2,M2,0.9696150540
M1,D,0.7911119142
M1,N,0.6734379005
P2,M1,0.9500133477
M1,P2,0.9453568448
P2,P1,0.9599242945
M2,D,0.8803787263
M2,N,0.7818603611
M1,M2,0.9574849126
M2,M2,0.9704715491
M2,P2,0.9653969753
M2,P1,0.9641340248
M2,M1,0.9534016358
