Prey / Predator,D,N,P1,P2,M1,M2
D,1.0906111140,1.2734871445,1.1547732212,1.1072338557,1.1612410290,1.0950537082
N,1.0773735134,1.1573614793,1.1148896637,1.1322136649,1.1224151146,1.1244063985
P1,1.0616266566,1.2374837862,1.1397326738,0.9441061554,1.1541004481,0.9153641106
P2,1.1097624559,1.2216219600,1.1607715063,1.1320473166,1.1617854539,1.1174656366
M1,1.0491270438,1.2364366892,1.1221932819,0.9177603797,1.1365626776,0.8956432103
M2,1.1233526002,1.2228320801,1.1671269065,1.1497615348,1.1681160238,1.1351884166
