prey,predator,prey_payoff,predator_payoff
D,D,0.7739124653,1.0950241111
N,N,0.8032728561,1.0691747066
P1,P1,0.7639270494,1.0970670691
N,M2,0.7451384882,1.0937745497
D,P2,0.7566940850,1.1066191363
D,M2,0.7399879295,1.1151447990
D,P1,0.6916939326,1.1373877500
P1,D,0.7028853321,1.1263149833
N,P1,0.7310862605,1.1010630476
D,M1,0.7078894268,1.1293071786
N,M1,0.7621467937,1.0883490640
N,P2,0.7771396259,1.0806003619
P1,N,0.8065806335,1.0791330835
N,D,0.6880052969,1.1196190336
D,N,0.4962094681,1.2420667222
P1,P2,0.6940335138,1.1324268188
P1,M2,0.6189381803,1.1689407444
P1,M1,0.7791655037,1.0905852503
P2,P2,0.7830623147,1.0822504228
M1,M1,0.7739471717,1.0895332905
P2,D,0.7458912531,1.0975301259
P2,N,0.6448075487,1.1578684281
M1,D,0.6987562232,1.1263569970
M1,N,0.6482411590,1.1582471885
P2,M2,0.7371230804,1.1040166492
M1,P2,0.6311546536,1.1610194644
P2,M1,0.7606553263,1.0924942535
M1,P1,0.7288907048,1.1107200642
M2,D,0.7502658254,1.0975428343
P2,P1,0.6224496892,1.1619778454
M2,N,0.8019406511,1.0789513092
M1,M2,0.4214061667,1.2601205240
M2,M2,0.7730237226,1.0898029227
M2,P2,0.7884328064,1.0832292850
M2,P1,0.7517153837,1.0995145191
M2,M1,0.7389533114,1.1085453725
