Prey / Predator,D,N,P1,P2,M1,M2
D,0.8846768382,0.8739488988,0.9004648895,0.8935682758,0.8752108869,0.9105818501
N,0.9218401346,0.9463655763,0.9405447355,0.9316279600,0.9432539669,0.9236390479
P1,0.9121620233,0.9165940806,0.9245459659,0.9065318670,0.9148655722,0.9114669176
P2,0.9027188943,0.9290193192,0.9097264012,0.9198966187,0.9061613113,0.9223116461
M1,0.9264642893,0.9063435223,0.9218608249,0.9065194052,0.9172733320,0.9128001682
M2,0.8891049671,0.9363009909,0.9181195195,0.9169452373,0.9089429378,0.9262817518
