prey,predator,payoff
N,N,0.9463655763
D,D,0.8846768382
P1,P1,0.9245459659
D,M2,0.9105818501
N,P2,0.9316279600
N,M2,0.9236390479
D,P2,0.8935682758
P1,N,0.9165940806
N,P1,0.9405447355
D,M1,0.8752108869
P1,D,0.9121620233
N,M1,0.9432539669
D,P1,0.9004648895
N,D,0.9218401346
D,N,0.8739488988
P1,P2,0.9065318670
P1,M1,0.9148655722
P1,M2,0.9114669176
P2,P2,0.9198966187
P2,D,0.9027188943
M1,M1,0.9172733320
P2,N,0.9290193192
M1,N,0.9063435223
P2,M1,0.9061613113
P2,M2,0.9223116461
M1,D,0.9264642893
M1,P1,0.9218608249
M1,P2,0.9065194052
P2,P1,0.9097264012
M2,D,0.8891049671
M2,N,0.9363009909
M1,M2,0.9128001682
M2,M2,0.9262817518
M2,P1,0.9181195195
M2,P2,0.9169452373
M2,M1,0.9089429378
