Prey / Predator,D,N,P1,P2,M1,M2
D,0.8514537885,0.8293005994,0.8386868528,0.8437152025,0.8348908470,0.8486203628
N,0.8545103067,0.8217803894,0.8481383929,0.8324093556,0.8369664350,0.8442815915
P1,0.8549941703,0.8269475246,0.8427046821,0.8401716550,0.8350283103,0.8519973129
P2,0.8485558786,0.8236929662,0.8413529069,0.8343326377,0.8368251013,0.8417105699
M1,0.8549859819,0.8236236286,0.8455198807,0.8474445248,0.8384994364,0.8578877212
M2,0.8487489683,0.8270275569,0.8405656795,0.8304851134,0.8369782627,0.8385540149
