prey,predator,prey_payoff,predator_payoff
D,D,1.1197488708,0.8463729744
N,N,1.1550053365,0.8118792392
P1,P1,1.1325451704,0.8370548417
D,M2,1.1264972721,0.8489752959
N,M2,1.0971861465,0.8316438341
D,P2,1.1383064636,0.8441661436
N,M1,1.1097332806,0.8286187622
N,P1,1.0881295995,0.8354190907
D,P1,1.1529066227,0.8351477521
P1,N,1.1831385484,0.8221509799
P1,D,1.0914605292,0.8499742358
N,P2,1.1191161970,0.8247549123
D,M1,1.1619224033,0.8313798376
N,D,1.0950809024,0.8271573265
D,N,1.1474957511,0.8471836470
P1,P2,1.0458559039,0.8729536689
P1,M2,1.0120843766,0.8851860826
P2,P2,1.1255852672,0.8287968218
P1,M1,1.1481087372,0.8318664998
P2,D,1.0947907601,0.8371128354
M1,M1,1.1295359883,0.8327095803
M1,P2,1.0115190959,0.8807305012
P2,N,1.1505089559,0.8224447032
M1,D,1.0783949576,0.8499869887
M1,P1,1.1146809500,0.8375526056
P2,M2,1.1104638627,0.8337567866
P2,M1,1.1409766281,0.8216061583
M1,N,1.1647191405,0.8223415605
P2,P1,1.1367077553,0.8226065084
M2,D,1.1082041083,0.8371086656
M2,N,1.1689748557,0.8222081000
M1,M2,0.9734029840,0.8944753681
M2,M2,1.1285714117,0.8331559450
M2,P1,1.1458599967,0.8254705063
M2,P2,1.1444214537,0.8278385818
M2,M1,1.1487638203,0.8249894732
