prey,predator,payoff
D,D,0.8119880959
N,N,0.9742348346
P1,P1,0.9122107770
D,M2,0.9271858452
N,M2,0.9073159328
N,P1,0.9197301415
P1,D,0.8020084696
N,M1,0.9159253570
D,P1,0.8989777980
N,P2,0.9105064862
P1,N,0.9739243555
D,P2,0.9151706478
D,M1,0.8802592436
N,D,0.7579640556
D,N,0.9717926093
P1,P2,0.8989309947
P2,P2,0.9148503614
P1,M2,0.9106094544
P1,M1,0.9025683821
M1,M1,0.9129040181
P2,D,0.7975738312
M1,N,0.9740329123
P2,N,0.9743912198
M1,D,0.8303952939
P2,M2,0.9218066961
M1,P2,0.9110937845
M1,P1,0.9200178271
P2,M1,0.8972077566
M2,D,0.7684352949
M2,N,0.9716933751
P2,P1,0.9101523670
M1,M2,0.9198656282
M2,M2,0.9137305277
M2,P1,0.9020413683
M2,P2,0.9054634752
M2,M1,0.8877928991
