Prey / Predator,D,N,P1,P2,M1,M2
D,0.8119880959,0.9717926093,0.8989777980,0.9151706478,0.8802592436,0.9271858452
N,0.7579640556,0.9742348346,0.9197301415,0.9105064862,0.9159253570,0.9073159328
P1,0.8020084696,0.9739243555,0.9122107770,0.8989309947,0.9025683821,0.9106094544
P2,0.7975738312,0.9743912198,0.9101523670,0.9148503614,0.8972077566,0.9218066961
M1,0.8303952939,0.9740329123,0.9200178271,0.9110937845,0.9129040181,0.9198656282
M2,0.7684352949,0.9716933751,0.9020413683,0.9054634752,0.8877928991,0.9137305277
