Prey / Predator,D,N,P1,P2,M1,M2
D,1.0560777935,1.0669202256,1.0586497574,1.0642295199,1.0579738374,1.0649054655
N,1.0431682154,1.0532083684,1.0455899263,1.0506743669,1.0513191505,1.0449452361
P1,1.0528972515,1.0634413027,1.0553944957,1.0608276553,1.0580155444,1.0582036000
P2,1.0462635608,1.0565935484,1.0487577310,1.0539848089,1.0512780029,1.0514631689
M1,1.0528687756,1.0566552556,1.0521604605,1.0574917155,1.0547042593,1.0549457490
M2,1.0462916665,1.0633787410,1.0519890160,1.0573177817,1.0545864123,1.0547181885
