Prey / Predator,D,N,P1,P2,M1,M2
D,0.8269606815,0.8712636861,0.8691632770,0.8641913044,0.8652431711,0.8733177147
N,0.8440447210,0.8298217786,0.8393906186,0.8331514305,0.8368787570,0.8359540502
P1,0.8539832290,0.8296808620,0.8402849118,0.8333232170,0.8356488428,0.8390737834
P2,0.8414439656,0.8298834638,0.8512176125,0.8317522466,0.8422068191,0.8455328886
M1,0.8540057509,0.8294923208,0.8488966502,0.8338834591,0.8355937365,0.8500707062
M2,0.8413850896,0.8297791539,0.8460583039,0.8316291711,0.8446004539,0.8364855959
