Prey / Predator,D,N,P1,P2,M1,M2
D,0.7769929785,0.2358621444,0.5908844857,0.6979701593,0.6147299768,0.6802130507
N,0.6318815635,0.7469451457,0.6661743288,0.7256252130,0.7112486431,0.6801668864
P1,0.7190841779,0.7696717314,0.7612580030,0.5714770228,0.7841481537,0.4199812499
P2,0.7406506091,0.4556732803,0.3884350831,0.7810385487,0.6951536368,0.7422368146
M1,0.7149338030,0.4585393797,0.7343434482,0.4311265148,0.7724904625,0.2225796923
M2,0.7450174235,0.7649123911,0.6813728906,0.7929659855,0.7529224440,0.7696929129
