prey,predator,prey_payoff,predator_payoff
D,D,0.7769929785,1.0935535367
N,N,0.7469451457,1.0974724118
P1,P1,0.7612580030,1.0985146975
N,M2,0.6801668864,1.1266371320
N,M1,0.7112486431,1.1142692192
N,P2,0.7256252130,1.1070091182
N,P1,0.6661743288,1.1336889711
P1,D,0.7190841779,1.1190146404
D,P1,0.5908844857,1.1895856432
D,M1,0.6147299768,1.1775710800
N,D,0.6318815635,1.1485492007
P1,M1,0.7841481537,1.0879948453
P2,P2,0.7810385487,1.0833114325
P2,D,0.7406506091,1.1002437535
P2,M2,0.7422368146,1.1023660309
M1,D,0.7149338030,1.1190159097
P2,M1,0.6951536368,1.1265228407
M1,P1,0.7343434482,1.1088399312
P2,P1,0.3884350831,1.2781706952
M1,M1,0.7724904625,1.0902763290
M2,D,0.7450174235,1.1002432682
M2,P1,0.6813728906,1.1358342675
M2,P2,0.7929659855,1.0808631320
M2,M1,0.7529224440,1.0997948607
M2,M2,0.7696929129,1.0916214467
P1,P2,0.5714770228,1.1961083628
P1,N,0.7696717314,1.0977133716
P1,M2,0.4199812499,1.2730348627
D,M2,0.6802130507,1.1437520373
D,P2,0.6979701593,1.1348800930
P2,N,0.4556732803,1.2525611467
M1,N,0.4585393797,1.2526432807
M1,M2,0.2225796923,1.3566104976
M1,P2,0.4311265148,1.2664949035
M2,N,0.7649123911,1.0977505188
D,N,0.2358621444,1.3651383151
