Prey / Predator,D,N,P1,P2,M1,M2
D,1.0451914186,1.1073947885,1.0555471722,1.0652521528,1.0500376766,1.0737586820
N,1.1211168995,1.0557700387,1.1022072604,1.0688234977,1.0796073391,1.0947477945
P1,1.0410050513,1.0654704703,1.0658705574,1.0783724305,1.0468710273,1.1001646524
P2,1.0474140837,1.0678623048,1.0741812404,1.0508695592,1.0787996746,1.0666229428
M1,1.0413074039,1.0678661511,1.0734744760,1.0938725517,1.0584016615,1.1776030364
M2,1.0467398968,1.0654962056,1.0825959207,1.0385955660,1.1305925010,1.0583002860
