prey,predator,prey_payoff,predator_payoff
D,D,1.1055993413,0.8506185763
N,N,1.1148512814,0.8269779488
P1,P1,1.1239488818,0.8387330630
N,M2,1.0857097635,0.8339400336
D,M2,1.1021170602,0.8572795447
D,M1,1.1406896586,0.8378130016
D,P2,1.1175618282,0.8510031946
D,P1,1.1307049089,0.8419725021
N,M1,1.0931972939,0.8331591153
P1,D,1.0542028805,0.8602452806
N,P1,1.0768359697,0.8374025874
N,P2,1.1028996177,0.8294327258
P1,N,1.1405249621,0.8364143111
D,N,1.1034706407,0.8588437505
N,D,1.0659410276,0.8384061150
P1,P2,1.0876307092,0.8551024953
P1,M2,1.0709574830,0.8601707835
P1,M1,1.1376834680,0.8344462082
P2,P2,1.1172148667,0.8306408026
P2,D,1.0835625964,0.8395859174
M1,M1,1.1212543997,0.8344059255
P2,N,1.1132597671,0.8341948032
M1,D,1.0416035435,0.8602464580
P2,M1,1.1083375665,0.8325416650
M1,N,1.1275762317,0.8338675477
P2,M2,1.0983589724,0.8365697282
M1,P2,1.0707195616,0.8554080722
M1,P1,1.1028978548,0.8401312822
M2,N,1.1266548501,0.8365664255
M2,D,1.0969384567,0.8395554753
P2,P1,1.0991795749,0.8354751135
M1,M2,1.0575302964,0.8583053514
M2,M2,1.1198727388,0.8349930102
M2,P1,1.1127741046,0.8363668149
M2,P2,1.1339815829,0.8305643047
M2,M1,1.1146972839,0.8357442174
