prey,predator,payoff
N,N,0.9975636637
D,D,0.9670051196
P1,P1,0.9684645258
N,P1,0.9438302569
D,P2,0.9267360715
N,M2,0.9538436028
D,M2,0.9317333280
N,P2,0.9529986856
N,M1,0.9441614487
P1,D,0.9146653260
D,M1,0.7259330157
D,P1,0.7608870628
P1,N,0.9648020921
P1,P2,0.9780040584
N,D,0.6348527424
D,N,0.3974530033
P1,M1,0.9643167321
P1,M2,0.9841413986
P2,P2,0.9689083575
P2,D,0.9403325635
M1,M1,0.9605679299
P2,N,0.9768195941
P2,M2,0.9737470345
M1,D,0.9173738845
P2,M1,0.8894080380
M1,N,0.9707407361
M1,P2,0.9819445170
M1,P1,0.9647994271
M2,D,0.9458692935
P2,P1,0.9069061330
M2,N,0.9748607682
M1,M2,0.9737317628
M2,M2,0.9765976296
M2,P1,0.9366966172
M2,P2,0.9719552438
M2,M1,0.9260309816
