prey,predator,payoff
D,D,0.3351067425
N,N,0.9447918013
P1,P1,0.9233534159
D,M2,0.7368197273
D,P1,0.4843183610
N,M2,0.9412690738
P1,N,0.9137524350
D,P2,0.6618671695
N,P1,0.9480848550
P1,D,0.9454265556
D,M1,0.3653597592
N,M1,0.9500042570
N,P2,0.9457811388
D,N,0.6272412073
N,D,0.9495720497
P1,P2,0.9415726575
P1,M2,0.9468501158
P2,P2,0.9203905316
P1,M1,0.9024468215
P2,D,0.8757058028
M1,M1,0.9061626922
P2,M1,0.8898924098
M1,D,0.9461509052
P2,M2,0.9419730540
M1,N,0.9193611794
P2,N,0.9468371811
M1,P1,0.9299256844
M1,P2,0.9426533007
M2,D,0.8843428799
M2,N,0.9440206690
P2,P1,0.9163287756
M1,M2,0.9387227254
M2,M2,0.9374366433
M2,P1,0.9196458361
M2,P2,0.9191935529
M2,M1,0.8972471701
