Prey / Predator,D,N,P1,P2,M1,M2
D,0.7707808772,0.2821471222,0.5723278691,0.6978747406,0.5961446596,0.6792969254
N,0.6284084311,0.7624479087,0.6692518461,0.7290813059,0.7146132908,0.6833235082
P1,0.6896524270,0.7875685795,0.7513142391,0.5626661253,0.7777950920,0.4379792296
P2,0.7457444456,0.4869001943,0.4321259840,0.7713024759,0.7112307759,0.7139849730
M1,0.6856923749,0.4898415691,0.7080162034,0.4491983623,0.7631676761,0.2441613129
M2,0.7501411537,0.7826368653,0.6983339597,0.7865147059,0.7610977503,0.7593933411
