Prey / Predator,D,N,P1,P2,M1,M2
D,1.0963267469,1.3445436552,1.1998937855,1.1355098053,1.1879400002,1.1448560813
N,1.1501304566,1.0901086515,1.1322665846,1.1053721287,1.1126981212,1.1251564075
P1,1.1337820694,1.0890013302,1.1034128346,1.1996978730,1.0910036666,1.2620423747
P2,1.0976034289,1.2384194743,1.2568949205,1.0881946961,1.1182937130,1.1166245960
M1,1.1337827510,1.2385577940,1.1220555011,1.2554180774,1.0948698594,1.3445448974
M2,1.0976036534,1.0890700057,1.1272210028,1.0839863171,1.0956408706,1.0967748473
