Prey / Predator,D,N,P1,P2,M1,M2
D,0.7680897703,0.7600661605,0.7732298280,0.7629478192,0.7867864089,0.7467714771
N,0.6722317957,0.8221194064,0.7431592997,0.7895174051,0.7742137688,0.7573948371
P1,0.7032265421,0.8465940325,0.7666254992,0.7627168971,0.7837375540,0.7153935262
P2,0.7409240584,0.8257913922,0.7598201144,0.7856352351,0.7913059019,0.7573021130
M1,0.6993253643,0.8307432313,0.7478620361,0.7254703212,0.7757581914,0.6164123749
M2,0.7450551144,0.8412645699,0.7829105430,0.7942474840,0.7809052718,0.7764595417
