Prey / Predator,D,N,P1,P2,M1,M2
D,1.0977335534,1.1075817058,1.0961671686,1.1035357453,1.0891440644,1.1117852175
N,1.1280207440,1.0607381536,1.0955614542,1.0746885092,1.0826689363,1.0881283535
P1,1.1257787636,1.0592028417,1.0953112354,1.0982919762,1.0879257046,1.1202391019
P2,1.1001876680,1.0627186263,1.0915885539,1.0805419261,1.0769384828,1.0933255166
M1,1.1256892141,1.0628115647,1.1007573370,1.1130849769,1.0882413679,1.1635069184
M2,1.1003108808,1.0592753249,1.0838215015,1.0798841310,1.0864908209,1.0876454088
