prey,predator,prey_payoff,predator_payoff
D,D,1.0394587892,0.8760871473
N,N,1.1144453515,0.8267873991
P1,P1,1.1132743757,0.8421615196
N,M1,1.0744959216,0.8417905568
D,M2,0.9630990471,0.9128890231
P1,D,0.9767359076,0.8829552607
D,P1,1.0787078199,0.8611247763
P1,N,1.1485560871,0.8326342561
N,P1,1.0484297725,0.8492389331
D,P2,0.9865932275,0.9037383541
N,M2,1.0594708866,0.8448216351
N,P2,1.0856581918,0.8373137982
D,M1,1.0853639683,0.8589954007
D,N,1.0171972077,0.8933865114
N,D,1.0066994934,0.8619128755
P1,P2,1.0995899825,0.8497171578
P1,M1,1.1314102296,0.8365294546
P2,D,1.0703262409,0.8439993444
P1,M2,1.0839325183,0.8541088625
M1,M1,1.1114676301,0.8376033485
P2,P2,1.1076699662,0.8337622201
P2,N,1.1323337506,0.8257827443
M1,D,0.9650730542,0.8829572988
M1,P1,1.0808145249,0.8469644262
P2,M2,1.0762560249,0.8434664869
M1,N,1.1463038270,0.8257053560
M1,P2,1.0836953284,0.8493088722
P2,M1,1.1019759048,0.8351225881
M2,D,1.0834301533,0.8440016155
P2,P1,1.0809088254,0.8418201831
M2,N,1.1341071892,0.8329850974
M1,M2,1.0505324345,0.8590661208
M2,M2,1.1094687891,0.8383344326
M2,P1,1.1065393065,0.8387398617
M2,P2,1.1278219424,0.8326130988
M2,M1,1.1171678042,0.8355362501
