prey,predator,payoff
D,D,0.9103623671
N,N,0.9837002678
P1,P1,0.9448712314
D,M2,0.9014238629
N,M2,0.9465171117
N,M1,0.9563083255
D,P1,0.8705753456
D,P2,0.8857590944
N,P1,0.9531096368
P1,D,0.9477747095
D,M1,0.8417835939
N,P2,0.9513245322
P1,N,0.9390184675
D,N,0.7949274333
N,D,0.9029055114
P1,P2,0.9183653265
P1,M2,0.9206029214
P2,P2,0.9441202334
P1,M1,0.9400684483
P2,D,0.9123085764
M1,M1,0.9372788032
M1,N,0.9238292753
P2,N,0.9479208820
M1,D,0.9547268161
P2,M2,0.9474754025
M1,P1,0.9406159926
M1,P2,0.9137464012
P2,M1,0.9204062775
M2,D,0.9068629521
M2,N,0.9578373469
P2,P1,0.9237486721
M1,M2,0.9030711634
M2,M2,0.9512493013
M2,P1,0.9358087877
M2,P2,0.9464314084
M2,M1,0.9324135845
