prey,predator,prey_payoff,predator_payoff
D,D,1.1119149571,0.8482937905
N,N,1.1057234085,0.8296954946
P1,P1,1.1118787287,0.8432402577
D,M1,1.1310179452,0.8421042301
N,P2,1.0850450812,0.8362379725
D,M2,1.1262293609,0.8467179525
N,M2,1.0788531331,0.8367135075
D,P1,1.1205197262,0.8462661122
P1,N,1.1427306143,0.8344671975
D,P2,1.1393309007,0.8416254075
N,P1,1.0691489606,0.8405547511
N,M1,1.0732734024,0.8406941701
P1,D,1.0872115633,0.8505298214
D,N,1.1545316680,0.8365700913
N,D,1.0527973153,0.8444887136
P1,P2,1.1238097124,0.8406249381
P1,M2,1.1103094277,0.8448019760
P2,P2,1.1060601866,0.8350122058
P1,M1,1.1162462685,0.8421769199
P2,D,1.0811935618,0.8408621304
M1,M1,1.1093429409,0.8389590768
M1,D,1.0741443657,0.8505283690
P2,N,1.1170738572,0.8318790611
P2,M2,1.0927759551,0.8389106209
P2,M1,1.0873854138,0.8405901626
M1,P1,1.0971820943,0.8424447599
M1,N,1.1311544885,0.8316649871
M1,P2,1.1091395995,0.8400911139
M2,N,1.1288419396,0.8346060586
P2,P1,1.0869051434,0.8401462218
M2,D,1.0945163558,0.8408544918
M1,M2,1.0909311100,0.8455144260
M2,M2,1.1085458039,0.8393305500
M2,P2,1.1138268473,0.8380166554
M2,P1,1.0913076018,0.8443669315
M2,M1,1.0767457429,0.8496177445
