prey,predator,prey_payoff,predator_payoff
D,D,1.0562725951,0.8684895710
N,N,1.1180941544,0.8253747792
P1,P1,1.1130094274,0.8422225827
N,M2,1.0625315968,0.8437627891
N,P1,1.0515617982,0.8481673720
P1,D,0.9705549644,0.8851266561
N,M1,1.0766703823,0.8410024459
D,M2,0.9663467670,0.9120283295
N,P2,1.0877661670,0.8365395246
D,P2,0.9888843112,0.9031127187
D,M1,1.0908601939,0.8569858926
P1,N,1.1444336306,0.8345045848
D,P1,1.0842228897,0.8591899844
N,D,1.0078466617,0.8614858178
D,N,1.0245116270,0.8909420103
P1,P2,1.0750218465,0.8591114226
P1,M1,1.1306105911,0.8367548555
P1,M2,1.0685984135,0.8599160388
P2,P2,1.1072741105,0.8338839427
P2,D,1.0716460507,0.8435247332
M1,M1,1.1110363927,0.8377149721
P2,N,1.1303944378,0.8267500223
M1,P1,1.0824157129,0.8466008892
M1,D,0.9589679873,0.8851286472
P2,M2,1.0780217901,0.8430538016
M1,N,1.1449253330,0.8264275502
P2,M1,1.1065620798,0.8334680212
M1,P2,1.0684787745,0.8551863067
P2,P1,1.0881820735,0.8392869126
M2,D,1.0847680383,0.8435263623
M2,N,1.1302933892,0.8347468156
M1,M2,1.0419041419,0.8628840796
M2,M2,1.1092433791,0.8384032211
M2,P2,1.1270103593,0.8328698016
M2,P1,1.1112942243,0.8370585868
M2,M1,1.1207837185,0.8342586695
