Prey / Predator,D,N,P1,P2,M1,M2
D,1.0417836438,1.1336867333,1.0528538166,1.0390821941,1.0445511848,1.0444842403
N,1.0389137277,1.0245980994,1.0427781577,1.0346015652,1.0444942601,1.0366572479
P1,1.0233573092,0.9997737227,1.0148779472,1.0158640649,1.0085855691,1.0242442289
P2,1.0356189575,1.0172960512,1.0542859620,1.0034094141,1.0130846435,1.0195149578
M1,1.0233902568,1.0172753071,1.0237354241,1.0181526461,1.0086547057,1.0566461418
M2,1.0355867636,0.9998119010,1.0210028791,1.0030560111,1.0246402765,1.0096872994
