Prey / Predator,D,N,P1,P2,M1,M2
D,1.0854884029,1.0429081141,1.1012686399,1.0349604813,1.1080197200,1.0127076271
N,1.0481339539,1.1146474252,1.0686279247,1.0966984997,1.0867758858,1.0779801733
P1,1.0059009993,1.1423925452,1.1170362765,1.0963840867,1.1333028933,1.0866700032
P2,1.0778378171,1.1280202626,1.0884564128,1.1110869542,1.1038382559,1.0836981744
M1,0.9938863571,1.1428002717,1.0880785494,1.0863169965,1.1149571178,1.0565239981
M2,1.0911141247,1.1280341128,1.1082611366,1.1296484779,1.1148626126,1.1131614625
