round,species,regime,share_before,percentage_before,initial_mass,final_mass,mass_change,payoff
1,prey,D,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19360082487758282,0.02693415821091602,0.9226955306695679
1,prey,N,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1904993225076083,0.02383265584094149,0.9551482316432085
1,prey,P1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19074982367463783,0.024083157007971034,0.9429585466156882
1,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19343653319076176,0.026769866524094965,0.9408375952210593
1,prey,M1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.18904826333625036,0.02238159666958356,0.9402346463555113
1,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19361599939355087,0.026949332726884073,0.9442715280663262
1,predator,D,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13610767058353587,-0.030558996083130785,0.9195707227965719
1,predator,N,0.16666666666666669,16.666666666666668,0.16666666666666666,0.12944633299642477,-0.037220333670241884,0.9476912832272963
1,predator,P1,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13272488765771734,-0.03394177900894932,0.9529141500037438
1,predator,P2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.1325854903589159,-0.03408117630775076,0.9363408412137773
1,predator,M1,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13198024700185002,-0.03468641966481664,0.9531718883142036
1,predator,M2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13341586983101536,-0.0332507968356513,0.9364571930157682
2,prey,D,0.2666666666666667,26.66666666666667,0.2666666666666667,0.30992908207697173,0.04326241541030501,0.9295082595634316
2,prey,N,0.06666666666666668,6.666666666666668,0.06666666666666668,0.07642786796072384,0.009761201294057165,0.9616171515209595
2,prey,P1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1913341587810619,0.024667492114395118,0.9498686816232329
2,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19368042539488758,0.027013758728220788,0.9465524878057766
2,prey,M1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.18928617966093633,0.022619512994269536,0.9494683262384358
2,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1940919528793428,0.02742528621267601,0.947756261578599
2,predator,D,0.06666666666666668,6.666666666666668,0.06666666666666667,0.05468963392325137,-0.011977032743415293,0.921236496594011
2,predator,N,0.16666666666666669,16.666666666666668,0.16666666666666666,0.12970549076797705,-0.03696117589868961,0.9456548783667202
2,predator,P1,0.16666666666666669,16.666666666666668,0.16666666666666666,0.1332479545532322,-0.033418712113434446,0.9523276342936037
2,predator,P2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.133016836911029,-0.033649829755637656,0.9375088282980903
2,predator,M1,0.2666666666666667,26.66666666666667,0.26666666666666666,0.21219739880410476,-0.0544692678625619,0.9519725118563569
2,predator,M2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13369062185250463,-0.032976044814162025,0.9383638745897293
3,prey,D,0.3233333333333334,32.33333333333334,0.32333333333333336,0.3759727598864567,0.052639426553123314,0.933760021470712
3,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01146933194932887,0.001469331949328868,0.9660749699302031
3,prey,P1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1915103820291449,0.02484371536247809,0.9545656232327808
3,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19377289826309047,0.02710623159642367,0.9505116742485168
