prey,predator,prey_payoff,predator_payoff
D,D,0.7661220331,1.0987516663
N,N,0.9593198136,0.9903633616
P1,P1,0.7786603158,1.0898842012
D,M2,0.7818693135,1.0942817388
D,P1,0.7977992682,1.0840802576
N,M2,0.7659986600,1.0849073194
D,P2,0.7965102114,1.0866984541
D,M1,0.8120479188,1.0765477100
P1,N,0.9788185249,0.9915675065
P1,D,0.7293234876,1.1120169058
N,P2,0.8069614080,1.0662146411
N,P1,0.7518605035,1.0922782313
N,M1,0.7921407055,1.0739683118
D,N,0.9870491136,0.9913141792
N,D,0.6577632190,1.1366623328
P1,P2,0.8009379423,1.0802026024
P1,M1,0.8066084739,1.0766377186
P2,P2,0.7978585855,1.0748672678
P1,M2,0.7631809507,1.0981025222
M1,M1,0.7882297859,1.0824567224
P2,D,0.7472491651,1.0965891440
P2,N,0.9673463606,0.9901309363
P2,M2,0.7725110427,1.0867552930
M1,N,0.9733823451,0.9901016966
M1,D,0.7253476760,1.1118736219
P2,M1,0.7974380926,1.0738847101
M1,P1,0.7630990725,1.0941825237
M1,P2,0.7731594685,1.0906573353
M2,N,0.9728298487,0.9915735295
P2,P1,0.7743234105,1.0848621774
M2,D,0.7513661031,1.0967370434
M1,M2,0.7401460241,1.1059223756
M2,M2,0.7882548639,1.0823232420
M2,P1,0.7882682165,1.0812387555
M2,P2,0.8164760256,1.0688728297
M2,M1,0.8134153999,1.0691516226
