Prey / Predator,D,N,P1,P2,M1,M2
D,0.8486177240,0.8384955729,0.8447860515,0.8445767058,0.8405207434,0.8505674651
N,0.8408738660,0.8284022495,0.8379189934,0.8326106955,0.8368795779,0.8341548453
P1,0.8537010645,0.8336863474,0.8406309911,0.8391138704,0.8379093974,0.8433254762
P2,0.8402285780,0.8300204616,0.8393558260,0.8324156414,0.8377030871,0.8383721164
M1,0.8537296853,0.8296878826,0.8418628530,0.8385635060,0.8362195360,0.8458850801
M2,0.8401750950,0.8339687194,0.8415242465,0.8339387424,0.8446213128,0.8368492287
