prey,predator,prey_payoff,predator_payoff
D,D,1.1672012372,0.8241965412
N,N,1.1024800660,0.8305003782
P1,P1,1.1195563375,0.8400580666
D,M2,1.0382764606,0.8796468452
N,P1,1.0639379668,0.8413364291
N,M2,1.0731385644,0.8378019615
N,M1,1.0803976380,0.8380059944
P1,D,1.0715972640,0.8539125083
P1,N,1.1542855341,0.8294218540
D,P2,1.0644813999,0.8693813117
N,P2,1.0903527760,0.8341895784
D,M1,1.0680569245,0.8644498313
D,P1,1.0564305808,0.8685742744
N,D,1.0438904758,0.8464316940
D,N,1.0517044939,0.8741193481
P1,P2,1.1438084491,0.8330979038
P1,M2,1.1234916576,0.8389315458
P1,M1,1.1359699726,0.8352124278
P2,P2,1.1139859646,0.8315413462
M1,M1,1.1181984729,0.8353690907
P2,D,1.0789343642,0.8414419566
M1,N,1.1333415268,0.8293807517
P2,N,1.1189603630,0.8297615862
P2,M1,1.0813365032,0.8424291935
M1,D,1.0587615072,0.8539293912
P2,M2,1.0678724296,0.8455143423
M1,P1,1.0729322910,0.8488941727
M1,P2,1.1235389981,0.8337839392
P2,P1,1.0507299764,0.8519097644
M2,D,1.0922738576,0.8413955158
M2,N,1.1404155922,0.8295182861
M1,M2,1.0680429602,0.8505811527
M2,M2,1.1152764562,0.8362742296
M2,P1,1.0848752304,0.8462989077
M2,P2,1.1322342918,0.8312096368
M2,M1,1.0925563499,0.8442035504
