prey,predator,prey_payoff,predator_payoff
D,D,0.8464248460,1.0579842824
D,P2,0.8345528897,1.0707101407
D,P1,0.8560011196,1.0553896191
D,N,0.8448138093,1.0684479186
D,M1,0.8658370050,1.0500668511
N,N,0.8380936720,1.0563391114
D,M2,0.8185967504,1.0793759762
N,D,0.7277337797,1.1078923669
N,P1,0.6901181734,1.1293663978
N,P2,0.7691556977,1.0891462781
N,M1,0.7424841242,1.1035392881
N,M2,0.7130836876,1.1170049791
P1,D,0.8518875410,1.0506287322
P1,P1,0.8252076205,1.0682808215
P1,N,0.8474653495,1.0629882866
P1,P2,0.8228298981,1.0721129747
P1,M1,0.8601818795,1.0500999314
P1,M2,0.7408164819,1.1151101526
P2,D,0.8091586164,1.0677758049
P2,N,0.8385803189,1.0601278463
P2,P2,0.8424470118,1.0536559487
P2,M1,0.7472987750,1.1034955754
P2,P1,0.7726411410,1.0881071567
P2,M2,0.8042746035,1.0737155798
M1,D,0.8458872621,1.0511548095
M1,N,0.8441367725,1.0599626787
M1,P1,0.7949774394,1.0813249991
M1,P2,0.7468415899,1.1097876410
M1,M1,0.8327977247,1.0615286614
M2,D,0.8126270417,1.0685261692
M1,M2,0.5986132023,1.1901343375
M2,N,0.8420013210,1.0631106993
M2,P1,0.7459462723,1.1064895389
M2,P2,0.8701200197,1.0420110110
M2,M2,0.8349216414,1.0603684159
M2,M1,0.6853229367,1.1409090855
