Prey / Predator,D,N,P1,P2,M1,M2
D,1.0982591366,1.0883749646,1.0919846100,1.0830511102,1.0843678080,1.0918055539
N,1.1419583062,1.0671976859,1.0863094295,1.0739691306,1.0814934687,1.0788606178
P1,1.0958248576,1.0710861197,1.0902463193,1.0844334530,1.0840984488,1.0896758532
P2,1.0941715224,1.0686087624,1.0949516485,1.0753223886,1.0821761799,1.0814977786
M1,1.0959663608,1.0686232657,1.0890492255,1.0819968940,1.0829355062,1.1139889638
M2,1.0941874562,1.0710725529,1.0886723344,1.0764615833,1.1272419431,1.0826669156
