prey,predator,prey_payoff,predator_payoff
D,D,0.7768314183,1.0937025187
N,N,0.7916777646,1.0744159640
P1,P1,0.7669077065,1.0956911153
D,M2,0.7481853873,1.1113758367
N,M2,0.7429328275,1.0946469841
D,P1,0.7053870173,1.1298517343
P1,D,0.7110052867,1.1224447357
N,P2,0.7701660759,1.0840917141
D,P2,0.7659419789,1.1021819909
P1,N,0.7635766926,1.1013748705
D,M1,0.7216755233,1.1216802822
N,M1,0.7545801414,1.0921620117
N,P1,0.7288982582,1.1019239156
D,N,0.4344932216,1.2719657522
N,D,0.6843978384,1.1215542653
P1,P2,0.6814506189,1.1396500805
P1,M1,0.7795000675,1.0903983616
P1,M2,0.5861639049,1.1879031794
P2,D,0.7443295321,1.0981168439
P2,P2,0.7860514967,1.0808258631
M1,M1,0.7771429144,1.0880200404
P2,N,0.6010966353,1.1797283921
M1,N,0.6047143406,1.1798819715
M1,D,0.7068510287,1.1224723965
P2,M2,0.7373483329,1.1042065081
P2,M1,0.7325749145,1.1070228148
M1,P2,0.5997393004,1.1793358696
M1,P1,0.7295155153,1.1107173132
M2,D,0.7486945475,1.0981295154
M2,N,0.7590494613,1.1012880446
P2,P1,0.5563968433,1.1956479195
M1,M2,0.3799195245,1.2832024373
M2,M2,0.7757813931,1.0885244483
M2,P1,0.7211845978,1.1152525407
M2,P2,0.7884254864,1.0832220314
M2,M1,0.7184440474,1.1193890391
