Prey / Predator,D,N,P1,P2,M1,M2
D,0.8763042755,0.7641357626,0.8561156328,0.8949819641,0.8728575932,0.8848953637
N,0.8379620218,0.9173234773,0.8546452366,0.8818740133,0.8649619318,0.8670633857
P1,0.9056574622,1.0125341159,0.9455321251,0.9534642950,0.9636918471,0.9318814186
P2,0.8808100205,0.9392802427,0.8779793147,0.9509243169,0.9354800782,0.9114535698
M1,0.9001729342,0.9457870577,0.9117346419,0.9352214519,0.9499763869,0.8915021570
M2,0.8860083552,1.0061943449,0.9343512736,0.9659065068,0.9018384496,0.9459976451
