prey,predator,prey_payoff,predator_payoff
D,D,0.8741559652,1.0424629399
D,P1,0.8611779158,1.0528930126
D,P2,0.8354091976,1.0702391985
D,N,0.9882648210,0.9910087150
D,M1,0.8720712874,1.0469224165
N,N,0.9643616284,0.9878529400
D,M2,0.8196954960,1.0788193355
N,D,0.7973188419,1.0707923909
N,P1,0.7662704190,1.0891186977
N,M1,0.8123879327,1.0667906801
N,P2,0.8350406857,1.0544886897
N,M2,0.7825633039,1.0804894677
P1,P1,0.8298955667,1.0661306119
P1,D,0.8696964676,1.0412917292
P1,N,0.9834409517,0.9893197049
P1,P2,0.7831025569,1.0922215735
P1,M1,0.8702269581,1.0454006299
P1,M2,0.6810836865,1.1466531078
P2,D,0.8461387309,1.0497329780
P2,N,0.9714677176,0.9882207685
P2,P2,0.8478594802,1.0510366190
P2,M1,0.8181176272,1.0666197540
P2,P1,0.8280191141,1.0600765073
P2,M2,0.8183547261,1.0662456920
M1,D,0.8639810603,1.0416152531
M1,P1,0.8091505294,1.0738512826
M1,N,0.9774787096,0.9882215958
M1,P2,0.6895556798,1.1401072363
M1,M1,0.8385133378,1.0587582795
M2,D,0.8519179187,1.0493324903
M1,M2,0.6198290664,1.1770670076
M2,N,0.9774346851,0.9893171520
M2,P1,0.8165326908,1.0700336285
M2,P2,0.8796835955,1.0375286371
M2,M2,0.8392485747,1.0584032237
M2,M1,0.7867776366,1.0877097521
