prey,predator,prey_payoff,predator_payoff
D,D,1.1144686763,0.8474332009
N,N,1.1019646814,0.8303776652
P1,P1,1.1122478173,0.8426372809
N,M2,1.0907034068,0.8317302044
N,P1,1.0824043348,0.8350173224
D,M2,1.1201742379,0.8482639512
D,P1,1.1064299612,0.8508392368
D,M1,1.1175177568,0.8465442567
N,M1,1.0725852894,0.8406097336
D,P2,1.1346505793,0.8426686039
P1,D,1.0937382056,0.8482314104
N,P2,1.0840621241,0.8362696791
P1,N,1.1291624401,0.8387138022
D,N,1.1323257447,0.8438367383
N,D,1.0583217992,0.8424882156
P1,P2,1.1243976724,0.8398174297
P1,M2,1.1206932931,0.8404017112
P1,M1,1.1028655618,0.8466524379
P2,P2,1.1063114874,0.8344859543
P2,N,1.1157790202,0.8314922122
M1,M1,1.1098750050,0.8383230158
P2,D,1.0836154171,0.8400004596
M1,P2,1.1202957506,0.8352803524
P2,M2,1.0903747094,0.8391763267
M1,D,1.0804749300,0.8482792035
P2,P1,1.0882061815,0.8391401981
M1,N,1.1294331796,0.8314549903
P2,M1,1.0866094008,0.8405313302
M1,P1,1.0950533620,0.8426253336
M2,D,1.0970828463,0.8399453694
M2,N,1.1153922598,0.8388764031
M1,M2,1.0887608933,0.8456501059
M2,M2,1.1086548151,0.8388282692
M2,P1,1.0905286964,0.8442628172
M2,P2,1.1006169955,0.8425422848
M2,M1,1.0636576579,0.8540751347
