Prey / Predator,D,N,P1,P2,M1,M2
D,0.8474332009,0.8438367383,0.8508392368,0.8426686039,0.8465442567,0.8482639512
N,0.8424882156,0.8303776652,0.8350173224,0.8362696791,0.8406097336,0.8317302044
P1,0.8482314104,0.8387138022,0.8426372809,0.8398174297,0.8466524379,0.8404017112
P2,0.8400004596,0.8314922122,0.8391401981,0.8344859543,0.8405313302,0.8391763267
M1,0.8482792035,0.8314549903,0.8426253336,0.8352803524,0.8383230158,0.8456501059
M2,0.8399453694,0.8388764031,0.8442628172,0.8425422848,0.8540751347,0.8388282692
