prey,predator,payoff
D,D,0.8225397381
N,N,0.9702558530
P1,P1,0.9457695432
N,M2,0.9466702058
D,P2,0.7203215055
D,M2,0.7640207953
P1,N,0.8971485961
N,M1,0.9535668003
D,P1,0.8179966333
P1,D,0.9590006709
N,P1,0.9507291459
N,P2,0.9513733011
D,M1,0.7801522540
D,N,0.5484787407
N,D,0.9324195223
P1,P2,0.9317784912
P1,M2,0.9522218100
P1,M1,0.9353069032
P2,D,0.9142230318
P2,P2,0.9436863503
M1,M1,0.9332787632
P2,M2,0.9555131834
P2,N,0.9491980986
M1,N,0.9227343892
M1,P2,0.9464948277
M1,D,0.9611638567
P2,M1,0.8906315708
M1,P1,0.9462624404
M2,D,0.9183740866
M2,N,0.9323001194
P2,P1,0.9113266680
M1,M2,0.9664120186
M2,M2,0.9557616651
M2,P1,0.9193883454
M2,P2,0.9458339554
M2,M1,0.9028436595
