prey,predator,prey_payoff,predator_payoff
D,D,1.1131604913,0.8480575714
N,N,1.1054764415,0.8288119764
P1,P1,1.1152402720,0.8416211565
D,P2,1.1311628925,0.8432753321
N,P2,1.0907933290,0.8336841484
D,M2,1.1147863482,0.8496881565
N,M2,1.0913934941,0.8311675574
P1,N,1.1411123645,0.8341678317
D,P1,1.0973256671,0.8534726057
P1,D,1.0846390016,0.8510623348
N,P1,1.0824106551,0.8347681531
N,M1,1.0795773334,0.8380160535
D,M1,1.1085905276,0.8491026476
D,N,1.1320047128,0.8420069393
N,D,1.0635865560,0.8400454290
P1,P2,1.1371159710,0.8352280632
P1,M2,1.1219438582,0.8401410229
P1,M1,1.1172643666,0.8415416018
P2,P2,1.1096785867,0.8332019515
P2,N,1.1182469200,0.8305906436
P2,D,1.0825273627,0.8402370936
M1,M1,1.1134006030,0.8370740483
P2,M2,1.0817462549,0.8419792167
M1,D,1.0715513127,0.8511076103
M1,N,1.1317103739,0.8306465289
P2,M1,1.0851151706,0.8409315080
P2,P1,1.0770038239,0.8429824086
M1,P1,1.0863961399,0.8454455936
M1,P2,1.1224312610,0.8346417623
M2,D,1.0960995823,0.8401256424
M2,N,1.1272757705,0.8342988027
M1,M2,1.0855501878,0.8460490576
M2,M2,1.1115107556,0.8377670822
M2,P2,1.1144102557,0.8374590664
M2,P1,1.0890215169,0.8446968288
M2,M1,1.0726857308,0.8507108882
