prey,predator,prey_payoff,predator_payoff
D,D,1.0834113395,0.8574019034
N,N,1.1437191472,0.8153514938
P1,P1,1.1210377082,0.8400205590
N,M2,1.0949890930,0.8323700078
N,M1,1.1004608586,0.8323374259
P1,D,1.0111332926,0.8747680791
N,P2,1.1106550220,0.8281042470
N,P1,1.0850224319,0.8365391558
D,M1,1.1404458664,0.8379538825
D,M2,1.0882043259,0.8631914980
D,P2,1.1028127706,0.8570592458
D,P1,1.1336798316,0.8406592569
P1,N,1.1686548338,0.8272026408
N,D,1.0387524632,0.8508339921
D,N,1.1177373662,0.8571935139
P1,P2,0.9101459396,0.9240345926
P1,M1,1.1356601367,0.8354852804
P2,D,1.0861912831,0.8399146273
P1,M2,0.8685123025,0.9388649033
P2,P2,1.1141892017,0.8319633766
M1,M1,1.1181780166,0.8357092182
P2,N,1.1346468833,0.8277952722
P2,M2,1.0987448849,0.8366909788
M1,D,0.9990874838,0.8747671282
M1,N,1.1492075835,0.8274210548
M1,P1,1.1029538251,0.8403424489
M1,P2,0.8687732446,0.9350131785
P2,M1,1.1434094703,0.8204302898
M2,D,1.0994867482,0.8399142372
P2,P1,1.1396486246,0.8211602351
M2,N,1.1543101233,0.8274373742
M1,M2,0.8210602001,0.9518659778
M2,M2,1.1170082247,0.8362988186
M2,P2,1.1317810751,0.8316975416
M2,P1,1.1487653228,0.8240906020
M2,M1,1.1508579010,0.8240156831
