Prey / Predator,D,N,P1,P2,M1,M2
D,1.0739506735,1.0559556569,1.1138021595,1.0795341113,1.1201338944,1.0628978197
N,1.0179837742,1.1319067092,1.0663706722,1.0977873204,1.0870571108,1.0769363438
P1,0.9802276963,1.1545068867,1.1157659045,0.9228929081,1.1305201726,0.9020506449
P2,1.0789416838,1.1052700259,1.1159265461,1.1092820817,1.1253836069,1.0899610644
M1,0.9685251357,1.1190355870,1.0941478335,0.9033028996,1.1131486551,0.9183689405
M2,1.0921551651,1.1405770730,1.1306203878,1.1268109940,1.1358043203,1.1118640732
