prey,predator,payoff
D,D,0.7553142438
N,N,0.9290660048
P1,P1,0.9606381087
D,M2,0.9317801519
D,P1,0.8707670089
N,M2,0.9634533041
D,M1,0.8501199092
D,P2,0.9252297053
P1,N,0.7324150619
P1,D,0.7774648738
N,M1,0.9541712818
N,P2,0.9549161263
N,P1,0.9615231687
D,N,0.4759498785
N,D,0.5674013554
P1,P2,0.9278133334
P1,M1,0.9555159199
P2,P2,0.9552779397
P1,M2,0.9498076011
P2,D,0.8552226561
M1,M1,0.9562307457
M1,D,0.7766134169
P2,N,0.7417768161
M1,N,0.7078126288
P2,M2,0.9606529580
M1,P1,0.9598585305
P2,M1,0.8886228902
M1,P2,0.9356187623
M2,D,0.8449928537
P2,P1,0.9097015486
M2,N,0.7664124181
M1,M2,0.9501583864
M2,M2,0.9593119468
M2,P1,0.9107810539
M2,P2,0.9520796923
M2,M1,0.8907745053
