Prey / Predator,D,N,P1,P2,M1,M2
D,0.8474515392,0.8407400317,0.8513394374,0.8430353717,0.8470412834,0.8490106409
N,0.8415090976,0.8297601792,0.8347881962,0.8353031224,0.8396800230,0.8313699448
P1,0.8493331118,0.8366892460,0.8421072113,0.8374719567,0.8443378266,0.8400588464
P2,0.8400173847,0.8308758092,0.8405598627,0.8338527012,0.8406454294,0.8402537073
M1,0.8493800297,0.8308952730,0.8437150444,0.8347495409,0.8376901828,0.8458736409
M2,0.8399332201,0.8368570476,0.8444038331,0.8402693161,0.8526864744,0.8382909762
