Prey / Predator,D,N,P1,P2,M1,M2
D,1.0409655293,1.1903057444,1.0557100622,1.0472397073,1.0500446825,1.0544108519
N,1.0234186842,1.0334997865,1.0500210820,1.0342157752,1.0429523661,1.0429019198
P1,1.0289276987,1.0358448733,1.0332638129,1.0434503560,1.0256143454,1.0596544426
P2,1.0395562302,1.0681358344,1.0551249177,1.0204443840,1.0245593964,1.0324772161
M1,1.0289717075,1.0682670888,1.0376772115,1.0532385642,1.0262226389,1.1082239169
M2,1.0395060975,1.0358814702,1.0293879273,1.0190181600,1.0528242681,1.0276421119
