Prey / Predator,D,N,P1,P2,M1,M2
D,0.8758147578,0.6106660125,0.8525497853,0.8738202380,0.8632751391,0.8603841813
N,0.8823848510,0.8761399133,0.8414187891,0.8740799413,0.8580442276,0.8544346839
P1,0.8935331373,0.8946137809,0.8925495753,0.8749375711,0.9089576339,0.8438401938
P2,0.8665181001,0.8194862827,0.8364886357,0.9052457314,0.8982346227,0.8786034631
M1,0.8882036117,0.8243928487,0.8745387515,0.8505533853,0.9000478109,0.7478433532
M2,0.8717390483,0.8890515250,0.8946598370,0.9156244428,0.8540401897,0.8974487836
