Prey / Predator,D,N,P1,P2,M1,M2
D,0.8472346793,0.8434081576,0.8389335780,0.8433647554,0.8348042617,0.8483377519
N,0.8409573369,0.8275751930,0.8423046779,0.8316958691,0.8359163644,0.8384650378
P1,0.8520440201,0.8344405518,0.8396206550,0.8481835321,0.8347336893,0.8587184723
P2,0.8402948779,0.8325562574,0.8360620600,0.8315326767,0.8341536353,0.8371157662
M1,0.8519210047,0.8323931508,0.8407619369,0.8540263734,0.8354333714,0.8643895150
M2,0.8402557007,0.8346069727,0.8379850770,0.8306836620,0.8379339685,0.8357583870
