Prey / Predator,D,N,P1,P2,M1,M2
D,0.8564959964,0.8676803887,0.8403261103,0.8564150186,0.8376676155,0.8626585314
N,0.8451552628,0.8179208541,0.8383578624,0.8293400827,0.8334240856,0.8343710528
P1,0.8743831265,0.8294326484,0.8397891054,0.9178522678,0.8353975108,0.9300357853
P2,0.8406220713,0.8330345849,0.8262083455,0.8317520064,0.8244191739,0.8366209941
M1,0.8743768942,0.8328620505,0.8402466915,0.9259793514,0.8355077700,0.9368576500
M2,0.8406214830,0.8297243452,0.8280443782,0.8315766838,0.8272215335,0.8360623648
