prey,predator,prey_payoff,predator_payoff
D,D,0.7725061812,1.0956153451
N,N,0.8026154801,1.0696367131
P1,P1,0.7569213928,1.1005892855
D,M2,0.7167903979,1.1261265958
D,P2,0.7336979942,1.1176007855
D,P1,0.7061630859,1.1291799704
N,P2,0.7682094361,1.0850049860
N,M2,0.7308699030,1.1008121231
N,P1,0.7172727909,1.1077830186
D,M1,0.7223867308,1.1210111867
P1,N,0.8119134559,1.0766289001
P1,D,0.6869741858,1.1340318500
N,M1,0.7540581778,1.0922435941
D,N,0.4060428848,1.2863171955
N,D,0.6741742783,1.1265557106
P1,P2,0.6347488969,1.1614885573
P1,M2,0.5335715133,1.2118283707
P1,M1,0.7785848129,1.0907736679
P2,P2,0.7764697476,1.0856003575
P2,D,0.7475068359,1.0968121900
M1,M1,0.7676374490,1.0926861228
M1,D,0.6829344634,1.1340770228
P2,N,0.5829514956,1.1903944207
M1,N,0.5863395381,1.1906054807
P2,M2,0.7211405096,1.1119198561
P2,M1,0.7428631396,1.1020297739
M1,P1,0.7134636608,1.1182943614
M1,P2,0.5456407131,1.2043409146
M2,D,0.7519373741,1.0968003453
P2,P1,0.5478159217,1.2000162183
M2,N,0.8071292705,1.0765110227
M1,M2,0.3205465486,1.3069721774
M2,M2,0.7657215468,1.0935291480
M2,P1,0.7315873192,1.1102596958
M2,P2,0.7876395378,1.0835559162
M2,M1,0.7786400968,1.0867476744
