Prey / Predator,D,N,P1,P2,M1,M2
D,1.0796156865,1.0869831461,1.1286696250,1.0972667780,1.1352940280,1.0819504914
N,1.0269218714,1.1380951769,1.0752384339,1.1038591206,1.0933801751,1.0855222772
P1,0.9952179538,1.1630855304,1.1179097199,0.9019124869,1.1322948206,0.8645741732
P2,1.0814831472,1.1204105567,1.1285034733,1.1112321731,1.1347043848,1.0948695830
M1,0.9833613877,1.1343173534,1.0990681414,0.8652820641,1.1151372946,0.8315926984
M2,1.0947235828,1.1487257431,1.1400582061,1.1285329237,1.1434693516,1.1139613270
