prey,predator,prey_payoff,predator_payoff
N,N,1.1102949034,0.8279736705
D,D,1.1036860890,0.8513832670
P1,P1,1.1197721577,0.8400949195
P1,D,1.0540316296,0.8597794844
D,M2,1.0942842040,0.8598450956
N,M2,1.0864256274,0.8331939307
D,P2,1.1125666263,0.8523660894
P1,N,1.1468652813,0.8330367211
N,P2,1.0996875344,0.8303548954
N,M1,1.0898077123,0.8341280351
N,P1,1.0775040837,0.8366772225
D,M1,1.1219628388,0.8445624416
D,P1,1.1121010005,0.8484876237
D,N,1.1318267303,0.8464434902
N,D,1.0634255303,0.8392976947
P1,P2,1.1267274237,0.8393549388
P1,M1,1.1328532161,0.8360822855
P2,P2,1.1137330518,0.8317790686
P2,D,1.0815643333,0.8402640321
P1,M2,1.1115848799,0.8438436250
M1,M1,1.1176673899,0.8355854338
P2,M2,1.0890088814,0.8396562597
M1,N,1.1416534422,0.8274043489
P2,N,1.1270920200,0.8277587247
M1,P2,1.1109572967,0.8389496676
M1,D,1.0413930673,0.8597957814
M1,P1,1.0935368082,0.8432078364
P2,M1,1.0982943607,0.8360326833
P2,P1,1.0866030580,0.8396791567
M2,D,1.0949855610,0.8402043779
M2,N,1.1322610785,0.8334567893
M1,M2,1.0784394974,0.8496961652
M2,M2,1.1158312507,0.8363026183
M2,P1,1.1025568768,0.8398230671
M2,P2,1.1293222432,0.8321501913
M2,M1,1.1019713343,0.8401525897
