prey,predator,prey_payoff,predator_payoff
D,D,1.1321521135,0.8440652388
N,N,1.1731472388,0.8052124985
P1,P1,1.1322981170,0.8380161786
D,M2,1.1403328994,0.8450926125
N,M2,1.0802689530,0.8391820317
N,P2,1.1120750986,0.8278565149
N,M1,1.1011220786,0.8323637757
D,M1,1.1696299085,0.8294447361
P1,D,1.1131315390,0.8448803031
P1,N,1.2146746415,0.8091171523
D,P1,1.1610215739,0.8329372887
D,P2,1.1527197909,0.8399712521
N,P1,1.0700858879,0.8434321756
N,D,1.0654228412,0.8432449011
D,N,1.2260543402,0.8124252143
P1,P2,1.1195748576,0.8459587411
P1,M1,1.1503531568,0.8314959798
P1,M2,1.0870121491,0.8585063210
P2,P2,1.1253176102,0.8297536852
P2,D,1.0918503111,0.8398400098
M1,M1,1.1291581907,0.8337259452
P2,N,1.1867657529,0.8071477523
P2,M2,1.1083646043,0.8357774427
M1,P2,1.0861731526,0.8536172527
M1,N,1.2011890663,0.8071452828
M1,D,1.1000022177,0.8448334679
P2,M1,1.1254671545,0.8280272178
M1,P1,1.1126473916,0.8395418648
M2,D,1.1048696852,0.8399721034
P2,P1,1.1170284223,0.8307378212
M2,N,1.2002816609,0.8091149613
M1,M2,1.0572942843,0.8643699059
M2,M2,1.1284371724,0.8340517539
M2,P2,1.1470476161,0.8272662093
M2,P1,1.1307287173,0.8315267463
M2,M1,1.1385392457,0.8289828648
