prey,predator,prey_payoff,predator_payoff
N,N,0.7814074079,1.0794857979
D,D,0.7417400936,1.1096935959
P1,P1,0.7513220151,1.1022843007
N,P1,0.7061089318,1.1145716302
D,M2,0.7218732650,1.1235242980
D,P1,0.7147119810,1.1260624807
N,M2,0.7210390995,1.1068100463
N,M1,0.7658796172,1.0866963277
N,P2,0.7809118833,1.0788826677
D,P2,0.7392486750,1.1146856291
P1,D,0.6668861101,1.1433733464
P1,N,0.7769809270,1.0924780343
D,M1,0.7288243639,1.1188949675
D,N,0.7344819503,1.1183523096
N,D,0.5827725705,1.1750560820
P1,P2,0.7624277994,1.0986304042
P1,M1,0.7243899712,1.1187269111
P1,M2,0.7426275192,1.1071718978
P2,P2,0.7701922638,1.0878189898
M1,M1,0.7606272170,1.0952224501
P2,D,0.6894309173,1.1254974484
P2,M2,0.7025088992,1.1208099734
P2,N,0.7820767411,1.0827069039
P2,M1,0.7710125994,1.0866074301
M1,N,0.7870052734,1.0826711951
M1,D,0.6637680916,1.1429862433
M1,P1,0.6940826761,1.1274366619
M1,P2,0.7525362645,1.0999677545
M2,D,0.6925166988,1.1259965734
P2,P1,0.7480046425,1.0967873223
M2,N,0.7722080274,1.0924682327
M1,M2,0.6473656581,1.1521832650
M2,M2,0.7608517004,1.0949113408
M2,P1,0.7623736179,1.0934991762
M2,P2,0.7371299080,1.1097045200
M2,M1,0.6841229444,1.1380723114
