prey,predator,prey_payoff,predator_payoff
D,D,0.8788796364,1.0401658328
D,P2,0.8760425061,1.0470065660
D,P1,0.8515097365,1.0576400008
D,N,0.6202893135,1.1853332095
D,M1,0.8649389898,1.0503583616
D,M2,0.8616431103,1.0547818490
N,N,0.8650717045,1.0391082369
N,D,0.7373690861,1.1050932435
N,P1,0.8193300924,1.0614451985
N,P2,0.8747172185,1.0332750122
N,M1,0.8575170622,1.0427041013
N,M2,0.8319685094,1.0546455779
P1,P1,0.8644698236,1.0476205799
P1,D,0.8826259093,1.0347329080
P1,N,0.8637693684,1.0516382860
P1,P2,0.8518277845,1.0571498318
P1,M2,0.8417857031,1.0606942168
P1,M1,0.8872638374,1.0365662438
P2,D,0.8647696155,1.0402881768
P2,N,0.7977762376,1.0795747070
P2,P2,0.8777517792,1.0348251821
P2,M1,0.8641246756,1.0420651482
P2,P1,0.8078348460,1.0711223642
P2,M2,0.8528436484,1.0465893143
M1,D,0.8770737393,1.0349185753
M1,N,0.8027472572,1.0796067539
M1,P1,0.8479350496,1.0520644576
M1,P2,0.8482254159,1.0545478962
M1,M1,0.8718060605,1.0408541669
M2,D,0.8701159852,1.0401768999
M1,M2,0.6936214307,1.1384167532
M2,N,0.8584276906,1.0516565327
M2,P1,0.8606132786,1.0467304331
M2,M2,0.8701216719,1.0417494548
M2,P2,0.8942853867,1.0299113179
M2,M1,0.7436081018,1.1118416324
