prey,predator,payoff
N,N,0.8957769459
D,D,0.9167984971
P1,P1,0.9126321314
N,M2,0.8770432363
D,M2,0.9215606488
N,M1,0.9197369142
D,M1,0.8843009002
P1,N,0.8932023681
D,P2,0.9071128072
N,P1,0.9109011511
N,P2,0.8974681419
P1,D,0.9154150496
D,P1,0.9093182060
N,D,0.9103991664
D,N,0.9021668645
P1,P2,0.8974122887
P1,M1,0.9052084292
P2,P2,0.9023369731
P1,M2,0.8969741194
P2,D,0.9130006562
M1,M1,0.9082219544
P2,N,0.8849305885
P2,M2,0.9044090161
M1,N,0.8560974677
M1,D,0.9323642909
M1,P1,0.9152318600
M1,P2,0.8967021910
P2,M1,0.9036634610
M2,D,0.8912000768
P2,P1,0.9081980690
M2,N,0.9154409838
M1,M2,0.9027824164
M2,M2,0.9055390473
M2,P1,0.9101200951
M2,P2,0.9007647095
M2,M1,0.9057380485
