Prey / Predator,D,N,P1,P2,M1,M2
D,0.9167984971,0.9021668645,0.9093182060,0.9071128072,0.8843009002,0.9215606488
N,0.9103991664,0.8957769459,0.9109011511,0.8974681419,0.9197369142,0.8770432363
P1,0.9154150496,0.8932023681,0.9126321314,0.8974122887,0.9052084292,0.8969741194
P2,0.9130006562,0.8849305885,0.9081980690,0.9023369731,0.9036634610,0.9044090161
M1,0.9323642909,0.8560974677,0.9152318600,0.8967021910,0.9082219544,0.9027824164
M2,0.8912000768,0.9154409838,0.9101200951,0.9007647095,0.9057380485,0.9055390473
