prey,predator,prey_payoff,predator_payoff
P1,P1,1.1230432910,0.8389731225
D,D,1.1012672775,0.8518673044
N,N,1.1165196123,0.8263592179
D,M2,1.0889315574,0.8626578894
N,M2,1.0857188186,0.8339433171
D,P2,1.1055074312,0.8558399763
N,P1,1.0768864155,0.8373906451
D,P1,1.1270625261,0.8430516781
P1,D,1.0405749305,0.8643218971
D,M1,1.1356170028,0.8396290711
N,M1,1.0935680053,0.8331560659
P1,N,1.1398949087,0.8366953094
N,P2,1.1030972217,0.8294788324
N,D,1.0650908042,0.8382991062
D,N,1.0658078071,0.8744837769
P1,P2,1.0727959981,0.8607694420
P1,M1,1.1373089084,0.8345444813
P1,M2,1.0601451535,0.8641424620
P2,D,1.0829794677,0.8397637510
P2,P2,1.1163794965,0.8308641990
M1,M1,1.1204133540,0.8346276976
P2,N,1.1123097646,0.8345865275
M1,D,1.0281371863,0.8643242503
M1,N,1.1267434825,0.8342081460
P2,M2,1.0963943004,0.8371545450
M1,P1,1.1008638057,0.8407402762
M1,P2,1.0601742285,0.8593661628
P2,M1,1.1099438967,0.8320019925
M2,D,1.0963339679,0.8397364366
M2,N,1.1260604034,0.8368358485
P2,P1,1.0996792717,0.8352586399
M1,M2,1.0511270207,0.8604483294
M2,M2,1.1189778870,0.8352323335
M2,P1,1.1144406975,0.8358036169
M2,P2,1.1335673497,0.8306791012
M2,M1,1.1182281829,0.8345954837
