Prey / Predator,D,N,P1,P2,M1,M2
D,1.1124315875,1.1251057549,1.0935980014,1.1295368788,1.1049492150,1.1129062058
N,1.0642261646,1.1060885373,1.0821007064,1.0921406885,1.0810816177,1.0911794204
P1,1.0827377211,1.1429476078,1.1155779534,1.1383770890,1.1195259401,1.1217673925
P2,1.0821424947,1.1182081645,1.0744672340,1.1100931720,1.0847826645,1.0798852584
M1,1.0696807440,1.1317101163,1.0845546432,1.1223346646,1.1138276711,1.0847033913
M2,1.0957155553,1.1291300600,1.0886966544,1.1166044546,1.0746008962,1.1118343920
