prey,predator,payoff
D,D,0.8936083277
N,N,0.9903342594
P1,P1,0.9543539850
D,P2,0.8841583556
N,P1,0.9552816703
N,M1,0.9578968364
D,M2,0.8999439105
N,M2,0.9542492307
D,M1,0.8341779387
D,P1,0.8601050010
P1,N,0.9326693611
N,P2,0.9577402757
P1,D,0.9677912800
N,D,0.8980165919
D,N,0.5417128666
P1,P2,0.9175298595
P2,P2,0.9538959276
P1,M2,0.9177583033
P1,M1,0.9489278753
P2,D,0.9302152463
M1,M1,0.9451759804
P2,N,0.9423344046
M1,D,0.9699415369
M1,N,0.9100058855
P2,M1,0.9021061619
P2,M2,0.9615372025
M1,P1,0.9530098805
M1,P2,0.9061349355
P2,P1,0.9163321952
M2,N,0.9577939801
M2,D,0.9312302900
M1,M2,0.8979796703
M2,M2,0.9626981323
M2,P2,0.9570516583
M2,P1,0.9274692993
M2,M1,0.9158261053
