Prey / Predator,D,N,P1,P2,M1,M2
D,0.8634675700,0.9372305223,0.9099411769,0.9107096429,0.8907671465,0.9233072300
N,0.8097730510,0.9581393583,0.9229250502,0.9115242383,0.9257009337,0.9024682170
P1,0.8490861907,0.9493455664,0.9211190878,0.9066378285,0.9121271538,0.9097248358
P2,0.8489606263,0.9515609778,0.9132692840,0.9211842337,0.9082926609,0.9149967719
M1,0.8664341336,0.9384631430,0.9172373134,0.9107932330,0.9208267038,0.8956807042
M2,0.8307380189,0.9583918822,0.9103238612,0.9134633561,0.9015537887,0.9210061028
