prey,predator,payoff
N,N,0.9581393583
D,D,0.8634675700
P1,P1,0.9211190878
N,M1,0.9257009337
D,M2,0.9233072300
D,P1,0.9099411769
N,M2,0.9024682170
P1,D,0.8490861907
N,P1,0.9229250502
D,M1,0.8907671465
N,P2,0.9115242383
D,P2,0.9107096429
P1,N,0.9493455664
D,N,0.9372305223
N,D,0.8097730510
P1,P2,0.9066378285
P1,M2,0.9097248358
P1,M1,0.9121271538
P2,P2,0.9211842337
P2,D,0.8489606263
M1,M1,0.9208267038
P2,N,0.9515609778
M1,P2,0.9107932330
M1,D,0.8664341336
P2,M2,0.9149967719
P2,M1,0.9082926609
M1,N,0.9384631430
M1,P1,0.9172373134
M2,N,0.9583918822
M2,D,0.8307380189
P2,P1,0.9132692840
M1,M2,0.8956807042
M2,M2,0.9210061028
M2,P2,0.9134633561
M2,P1,0.9103238612
M2,M1,0.9015537887
