Prey / Predator,D,N,P1,P2,M1,M2
D,0.6333328159,0.7277637001,0.7712418453,0.8364299313,0.6947237218,0.8785301536
N,0.9562307208,0.9381186421,0.9524379782,0.9425463316,0.9511899093,0.9403068099
P1,0.9325183034,0.9089441221,0.9173213790,0.9235927643,0.9022971573,0.9312997939
P2,0.8870298522,0.9284636712,0.9124580559,0.9121184578,0.9010772855,0.9265281552
M1,0.9383791812,0.9011477201,0.9201744555,0.9303450336,0.9039216818,0.9369076386
M2,0.8821927424,0.9360548700,0.9208835318,0.9108589642,0.9092029721,0.9250243203
